keep,row_id,table_number,table_title,grouping_basis,group_label,trial_label,combined_group,citation_display,title,authors,year,doi,journal,reference_number,study_design,sample_size,outcome_measure,outcome_result,bibliography_entry_text,bibliography_match_method,notes,needs_review
True,1,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / Global,CheckMate 436,EQ-5D / Global / CheckMate 436,Zinzani 2019 [45],Nivolumab combined with brentuximab vedotin for relapsed/refractory primary mediasti- nal large B-cell lymphoma: efficacy and safety from the phase II CheckMate 436 study,Zinzani PL,2019,,,45,,,,,"Zinzani PL, Santoro A, Gritti G, et al. Nivolumab combined with brentuximab vedotin for relapsed/refractory primary mediasti- nal large B-cell lymphoma: efficacy and safety from the phase II CheckMate 436 study. J Clin Oncol. 2019;37(33):3081–9.",reference_number,Phase 1/2 single-arm; R/R PMBCL; nivolumab + brentuximab vedotin; EQ-5D-3L,
True,2,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / Global,SADAL,EQ-5D / Global / SADAL,Shah 2021 [38],Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma,Shah J,2021,,Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma,38,,,,,"Shah J, Shacham S, Kauffman M, et al. Health-related qual- ity of life and utility outcomes with selinexor in relapsed/ refractory diffuse large B-cell lymphoma. Future Oncol. 2021;17(11):1295–310.",reference_number,Phase 2b single-arm; R/R DLBCL; selinexor; EQ-5D-5L health index,
True,3,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / Global,SADAL,EQ-5D / Global / SADAL,Casasnovas 2020 [69],PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor,Casasnovas RO,2020,,PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor,69,,,,,"Casasnovas RO, Daniele P, Tremblay G, et al. PCN325 Health utility in relapsed/refractory diffuse large B-cell lymphoma (RR-DLBCL) patients—results of a phase II trial with ORAL selinexor. Value Health. 2020;23(suppl 2):S479–80.",reference_number,Phase 2b single-arm; R/R DLBCL; selinexor; EQ-5D-5L health index,
True,4,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / Global,ZUMA-1,EQ-5D / Global / ZUMA-1,Lin 2019 [42],P889 Health utilities for patients with relapsed or refractory large B-cell lymphoma (R/R-LBCL): ad hoc analysis from an axicabta- gene ciloleucel (axi-cel) safety management study,Lin VW,2019,,P889 Health utilities for patients with relapsed or refractory large B-cell lymphoma (R/R-LBCL): ad hoc analysis from an axicabta- gene ciloleucel (axi-cel) safety management study,42,,,,,"Lin VW, Jiang Y, Chuang LH, Navale L, Cheng P, Purdum A. P889 Health utilities for patients with relapsed or refractory large B-cell lymphoma (R/R-LBCL): ad hoc analysis from an axicabta- gene ciloleucel (axi-cel) safety management study. Bone Marrow Transplant. 2019;53(suppl 1):879.",reference_number,Phase 2 single-arm; 3L+ DLBCL; axi-cel; EQ-5D-5L VAS and health index,
True,5,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / Global,ZUMA-1,EQ-5D / Global / ZUMA-1,ClinicalTrials.gov [70],Study evaluating the safety and efficacy of KTE-C19 in adult participants with refractory aggressive non- Hodgkin lymphoma (ZUMA-1 (NCT02348216),ClinicalTrials,2015,,,70,,,,,ClinicalTrials.gov. Study evaluating the safety and efficacy of KTE-C19 in adult participants with refractory aggressive non- Hodgkin lymphoma (ZUMA-1 (NCT02348216). 2015. https://​ clini​caltr​ials.​gov/​ct2/​show/​NCT02​348216. Accessed 13 Dec 2022.,reference_number,NCT02348216,
True,6,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / US,TRANSCEND NHL 001,EQ-5D / US / TRANSCEND NHL 001,Patrick 2021 [17],Effect of lisocabtagene maraleucel on HRQoL and symptom severity in relapsed/refrac- tory large B-cell lymphoma,Patrick DL,2021,,,17,,,,,"Patrick DL, Powers A, Jun MP, et al. Effect of lisocabtagene maraleucel on HRQoL and symptom severity in relapsed/refrac- tory large B-cell lymphoma. Blood Adv. 2021;5(8):2245–55.",reference_number,Phase 1 single-arm; R/R DLBCL; liso-cel; EQ-5D-5L health index and VAS,
True,7,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / US,TRANSCEND NHL 001,EQ-5D / US / TRANSCEND NHL 001,Patrick 2020 [37],Impact of lisocabta- gene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients with relapsed/refractory aggres- sive B-cell non-Hodgkin lymphoma: TRANSCEND NHL 001 (NCT02631044),Patrick D,2020,,Impact of lisocabta- gene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients with relapsed/refractory aggres- sive B-cell non-Hodgkin lymphoma: TRANSCEND NHL 001 (NCT02631044),37,,,,,"Patrick D, Powers A, Parisi Jun M, et al. Impact of lisocabta- gene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients with relapsed/refractory aggres- sive B-cell non-Hodgkin lymphoma: TRANSCEND NHL 001 (NCT02631044). Br J Haematol. 2020;189(suppl 1):220–1.",reference_number,Phase 1 single-arm; R/R DLBCL; liso-cel; EQ-5D-5L health index and VAS,
True,8,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / US,TRANSCEND NHL 001,EQ-5D / US / TRANSCEND NHL 001,Patrick 2019 [35],"PCN262 preference-weighted health status in patients with relapsed/refractory diffuse large B-cell lymphoma (R/R DLBCL) treated with lisocabtagene maraleucel (liso-cel; JCAR017) in the ongoing, multicenter, phase 1 TRANSCEND NHL 001 trial",Patrick D,2019,,PCN262 preference-weighted health status in patients with relapsed/refractory diffuse large B-cell lymphoma (R/R DLBCL) treated with lisocabtagene maraleucel (liso-cel,35,,,,,"Patrick D, Matza L, Kim Y, Garcia J, Dehner C, Chung KC. PCN262 preference-weighted health status in patients with relapsed/refractory diffuse large B-cell lymphoma (R/R DLBCL) treated with lisocabtagene maraleucel (liso-cel; JCAR017) in the ongoing, multicenter, phase 1 TRANSCEND NHL 001 trial. Value Health. 2019;22(suppl 2):S106.",reference_number,Phase 1 single-arm; R/R DLBCL; liso-cel; EQ-5D-5L health index and VAS,
True,9,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / US,TRANSCEND NHL 001,EQ-5D / US / TRANSCEND NHL 001,Patrick 2019 [36],Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients (pts) with relapsed/refractory (R/R) 189 A Review of HRQOL and Utilities in R/R LBCL aggressive B cell non-Hodgkin lymphoma (NHL): Transcend NHL 001,Patrick DL,2019,,Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients (pts) with relapsed/refractory (R/R) 189 A Review of HRQOL and Utilities in R/R LBCL aggressive B cell non-Hodgkin lymphoma (NHL): Transcend NHL 001,36,,,,,"Patrick DL, Powers A, Parisi M, et al. Impact of lisocabtagene maraleucel (liso-cel) treatment on health-related quality of life and health utility in patients (pts) with relapsed/refractory (R/R) 189 A Review of HRQOL and Utilities in R/R LBCL aggressive B cell non-Hodgkin lymphoma (NHL): Transcend NHL 001. Blood. 2019;134(suppl 1):66.",reference_number,Phase 1 single-arm; R/R DLBCL; liso-cel; EQ-5D-5L health index and VAS,
True,10,3,Overview of included studies on health statue utility values,Utility assessment method and region,EQ-5D / NR,Naratuximab emtansine + rituximab phase 2,EQ-5D / NR / Naratuximab emtansine + rituximab phase 2,Orfanos 2022 [46],POSC370 Health-related qual- ity of life of naratuximab emtasine + rituximab (N+R) in sec- ond line and heavily pre-treated patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): an analysis of the Functional Assessment of Cancer Therapy Lymphoma (FACT- LYM) measure and mapped EQ-5D values from a phase II trial,Orfanos P,2022,,POSC370 Health-related qual- ity of life of naratuximab emtasine + rituximab (N+R) in sec- ond line and heavily pre-treated patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): an analysis of the Functional Assessment of Cancer Therapy Lymphoma (FACT- LYM) measure and mapped EQ-5D values from a phase II trial,46,,,,,"Orfanos P, Peipert J, Cella D, et al. POSC370 Health-related qual- ity of life of naratuximab emtasine + rituximab (N+R) in sec- ond line and heavily pre-treated patients with relapsed/refractory (R/R) diffuse large B-cell lymphoma (DLBCL): an analysis of the Functional Assessment of Cancer Therapy Lymphoma (FACT- LYM) measure and mapped EQ-5D values from a phase II trial. Value Health. 2022;25(1 suppl):S245.",reference_number,Phase 2 single-arm; 2L and heavily pre-treated R/R DLBCL; naratuximab emtansine + rituximab; EQ-5D (unspecified),
